CustomerID,CustomerName,Gender,Age,City,State
1,Customer_1,Female,19,Kolkata,DL
2,Customer_2,Female,60,Chennai,WB
3,Customer_3,Female,25,Bangalore,MH
4,Customer_4,Female,55,Bangalore,MH
5,Customer_5,Female,46,Chennai,TN
6,Customer_6,Female,36,Kolkata,WB
7,Customer_7,Female,62,Bangalore,DL
8,Customer_8,Female,54,Kolkata,DL
9,Customer_9,Male,22,Mumbai,TN
10,Customer_10,Male,63,Kolkata,MH
11,Customer_11,Female,31,Chennai,MH
12,Customer_12,Female,42,Delhi,TN
13,Customer_13,Male,56,Bangalore,MH
14,Customer_14,Female,20,Bangalore,TN
15,Customer_15,Female,57,Kolkata,KA
16,Customer_16,Male,36,Bangalore,MH
17,Customer_17,Male,45,Chennai,WB
18,Customer_18,Female,24,Chennai,MH
19,Customer_19,Female,39,Delhi,MH
20,Customer_20,Female,61,Delhi,KA
21,Customer_21,Male,38,Bangalore,WB
22,Customer_22,Male,25,Delhi,TN
23,Customer_23,Female,30,Delhi,WB
24,Customer_24,Female,45,Kolkata,MH
25,Customer_25,Female,32,Delhi,WB
26,Customer_26,Male,61,Bangalore,MH
27,Customer_27,Female,33,Kolkata,KA
28,Customer_28,Male,59,Chennai,MH
29,Customer_29,Female,30,Kolkata,TN
30,Customer_30,Female,22,Chennai,WB
31,Customer_31,Female,30,Chennai,TN
32,Customer_32,Female,47,Chennai,WB
33,Customer_33,Male,33,Kolkata,DL
34,Customer_34,Female,30,Chennai,KA
35,Customer_35,Female,53,Kolkata,KA
36,Customer_36,Male,61,Delhi,KA
37,Customer_37,Female,54,Mumbai,MH
38,Customer_38,Female,61,Bangalore,DL
39,Customer_39,Female,50,Mumbai,WB
40,Customer_40,Male,25,Bangalore,MH
41,Customer_41,Male,44,Delhi,DL
42,Customer_42,Female,26,Delhi,KA
43,Customer_43,Female,30,Delhi,DL
44,Customer_44,Female,43,Bangalore,DL
45,Customer_45,Female,31,Bangalore,TN
46,Customer_46,Female,22,Bangalore,KA
47,Customer_47,Male,19,Chennai,WB
48,Customer_48,Female,48,Delhi,MH
49,Customer_49,Male,62,Bangalore,KA
50,Customer_50,Male,18,Bangalore,MH
51,Customer_51,Female,27,Delhi,DL
52,Customer_52,Female,44,Chennai,TN
53,Customer_53,Male,49,Kolkata,WB
54,Customer_54,Female,57,Delhi,DL
55,Customer_55,Female,28,Mumbai,TN
56,Customer_56,Female,29,Kolkata,TN
57,Customer_57,Male,47,Kolkata,WB
58,Customer_58,Female,18,Delhi,KA
59,Customer_59,Male,49,Mumbai,TN
60,Customer_60,Male,18,Chennai,TN
61,Customer_61,Male,26,Mumbai,WB
62,Customer_62,Male,32,Bangalore,KA
63,Customer_63,Male,26,Mumbai,TN
64,Customer_64,Male,37,Delhi,MH
65,Customer_65,Female,37,Chennai,WB
66,Customer_66,Female,20,Kolkata,KA
67,Customer_67,Female,19,Kolkata,WB
68,Customer_68,Female,36,Chennai,DL
69,Customer_69,Female,29,Delhi,WB
70,Customer_70,Male,18,Kolkata,WB
71,Customer_71,Male,62,Kolkata,WB
72,Customer_72,Male,59,Delhi,KA
73,Customer_73,Female,34,Bangalore,WB
74,Customer_74,Male,31,Mumbai,DL
75,Customer_75,Male,52,Delhi,DL
76,Customer_76,Female,63,Chennai,WB
77,Customer_77,Male,54,Chennai,MH
78,Customer_78,Male,33,Delhi,DL
79,Customer_79,Female,38,Delhi,WB
80,Customer_80,Male,51,Bangalore,KA
81,Customer_81,Female,25,Bangalore,MH
82,Customer_82,Female,41,Bangalore,MH
83,Customer_83,Female,26,Bangalore,KA
84,Customer_84,Female,32,Bangalore,KA
85,Customer_85,Male,28,Kolkata,MH
86,Customer_86,Female,38,Bangalore,TN
87,Customer_87,Male,40,Kolkata,KA
88,Customer_88,Male,40,Bangalore,WB
89,Customer_89,Female,49,Bangalore,MH
90,Customer_90,Male,20,Delhi,DL
91,Customer_91,Female,24,Bangalore,MH
92,Customer_92,Female,49,Bangalore,TN
93,Customer_93,Female,18,Kolkata,MH
94,Customer_94,Female,55,Delhi,TN
95,Customer_95,Female,28,Delhi,KA
96,Customer_96,Female,55,Mumbai,TN
97,Customer_97,Male,61,Chennai,TN
98,Customer_98,Female,47,Bangalore,MH
99,Customer_99,Male,33,Delhi,MH
100,Customer_100,Male,34,Kolkata,WB
