SalesID,OrderID,ProductID,CustomerID,RegionID,Quantity,SalesAmount,SalesDate
1,1253,6,57,25,12,27292,2024-04-11
2,1285,2,64,28,14,48593,2023-05-24
3,1234,8,52,24,12,2504,2024-12-13
4,1301,1,77,35,9,28971,2024-03-18
5,1329,5,19,25,18,34165,2024-01-23
6,1281,1,71,17,16,35080,2023-11-13
7,1270,6,13,35,3,34216,2022-05-01
8,1450,1,76,11,10,48389,2022-06-11
9,1419,7,91,13,9,8477,2024-10-17
10,1058,6,44,23,8,12688,2022-10-21
11,1270,5,6,12,15,2341,2024-08-20
12,1414,5,58,9,1,15626,2024-09-03
13,1345,6,60,15,8,29691,2023-04-03
14,1225,7,97,50,8,33115,2024-08-30
15,1479,2,7,14,7,48788,2022-05-31
16,1208,4,87,36,16,25288,2023-01-17
17,1395,3,37,47,14,38741,2022-07-11
18,1452,6,1,24,10,3248,2022-08-07
19,1338,3,99,4,4,17985,2023-02-12
20,1137,8,1,17,8,16739,2023-05-18
21,1488,5,31,6,2,44973,2022-05-22
22,1017,3,97,42,5,29554,2022-02-05
23,1137,3,71,49,13,41793,2022-08-19
24,1067,1,20,21,19,28932,2022-01-10
25,1234,7,39,6,16,39775,2024-02-23
26,1180,4,72,38,18,975,2024-01-07
27,1009,3,62,43,8,45675,2023-10-26
28,1389,5,6,38,17,40325,2022-10-26
29,1423,4,34,39,4,22550,2022-07-03
30,1043,8,79,12,14,34680,2023-05-19
31,1264,6,7,7,6,12150,2023-03-09
32,1022,4,38,45,6,37350,2024-10-20
33,1497,6,26,49,11,40914,2022-09-21
34,1416,4,84,48,17,15163,2023-04-01
35,1486,8,66,43,6,13760,2022-01-02
36,1169,1,41,33,15,14228,2022-01-06
37,1225,8,54,1,17,5516,2024-10-22
38,1194,1,89,39,5,29420,2022-03-27
39,1431,4,7,10,7,47137,2024-09-28
40,1471,1,78,41,12,3064,2024-04-02
41,1343,1,25,9,19,4208,2022-12-15
42,1029,2,26,28,1,25388,2022-10-27
43,1044,7,90,14,7,7827,2024-10-07
44,1392,7,98,8,9,43071,2024-03-27
45,1278,3,44,20,4,7780,2022-05-06
46,1286,3,88,15,19,26935,2023-03-13
47,1110,5,60,45,1,24677,2024-05-05
48,1211,2,27,15,2,31608,2023-08-01
49,1327,6,43,23,6,25611,2024-03-21
50,1313,6,93,15,5,24135,2023-07-28
51,1294,7,95,34,12,17763,2024-10-05
52,1453,6,14,26,6,45128,2024-08-07
53,1335,8,19,34,3,43560,2023-09-02
54,1074,6,34,40,16,34621,2024-02-16
55,1265,3,43,33,16,9765,2024-03-27
56,1132,2,38,50,17,37035,2023-03-04
57,1384,2,20,25,10,36733,2023-08-02
58,1016,4,64,34,10,1146,2023-07-17
59,1473,8,94,1,19,19726,2024-02-08
60,1210,7,17,21,15,15829,2022-03-29
61,1180,3,10,24,13,15500,2022-02-15
62,1232,3,44,4,2,31207,2023-04-01
63,1337,4,16,3,5,49784,2024-01-20
64,1122,4,6,48,3,7144,2023-10-22
65,1028,7,77,39,3,43513,2023-08-11
66,1139,8,83,44,19,28940,2023-05-17
67,1433,8,44,36,16,24134,2023-01-11
68,1381,8,75,7,8,43283,2022-01-19
69,1174,8,2,28,10,48044,2024-09-22
70,1374,7,2,26,7,28528,2024-12-03
71,1399,4,89,40,5,36699,2022-03-24
72,1460,5,47,41,8,36086,2024-03-07
73,1153,3,93,18,16,2506,2023-07-21
74,1304,8,22,42,10,8147,2024-12-17
75,1365,6,4,33,13,42462,2024-02-16
76,1071,4,65,49,9,31811,2022-08-24
77,1079,8,72,29,2,11013,2022-02-15
78,1402,7,73,6,14,23924,2022-05-14
79,1337,6,15,16,9,17999,2022-11-11
80,1279,5,66,8,11,39817,2022-04-09
81,1375,1,26,22,3,33209,2022-10-30
82,1126,5,15,35,5,29919,2024-02-15
83,1353,1,71,25,2,21139,2022-07-25
84,1309,1,84,35,3,45404,2023-01-18
85,1122,4,77,50,12,8154,2024-01-13
86,1420,3,7,16,19,42538,2022-05-24
87,1416,1,82,32,15,5748,2024-05-02
88,1259,3,66,17,14,22368,2023-06-23
89,1453,2,78,21,8,48153,2024-05-03
90,1210,8,72,25,11,48752,2024-01-17
91,1319,7,59,19,8,44082,2023-05-30
92,1072,5,2,15,19,48398,2022-08-20
93,1339,6,28,41,18,35034,2022-12-12
94,1241,8,75,40,7,8183,2023-03-15
95,1026,8,46,19,7,5416,2022-01-22
96,1275,2,9,9,19,39181,2024-06-09
97,1364,1,5,37,5,12521,2023-04-30
98,1111,6,49,4,7,35686,2022-02-27
99,1191,5,98,33,6,8019,2023-02-22
100,1229,8,10,11,11,49447,2024-01-28
101,1289,5,75,45,12,29563,2022-01-25
102,1350,2,31,5,7,28347,2022-11-24
103,1408,7,91,29,17,18505,2022-06-27
104,1426,4,15,30,2,24506,2024-02-14
105,1491,8,38,28,10,9370,2024-01-10
106,1316,1,12,20,15,42525,2023-10-02
107,1311,2,57,2,16,1791,2024-05-04
108,1061,8,63,27,16,11358,2023-05-21
109,1466,6,57,1,5,17571,2024-09-26
110,1335,6,36,10,9,32569,2023-06-15
111,1050,3,49,11,10,20258,2022-06-07
112,1022,2,38,25,5,47394,2022-06-29
113,1469,3,78,45,3,5406,2024-04-19
114,1283,3,24,27,18,40622,2023-02-17
115,1232,6,67,37,15,42058,2024-05-10
116,1160,7,18,32,6,27186,2022-04-05
117,1220,8,64,23,12,22883,2024-09-27
118,1405,2,13,4,14,11562,2023-08-25
119,1352,1,11,9,11,17513,2022-09-25
120,1325,5,45,18,10,45168,2023-03-20
121,1199,8,35,12,19,42201,2023-07-22
122,1424,6,5,16,19,44658,2024-01-30
123,1439,6,95,37,11,44675,2022-11-27
124,1207,4,95,39,6,22520,2022-08-27
125,1390,1,30,35,16,39955,2023-09-02
126,1401,7,79,30,5,40553,2023-10-05
127,1288,2,92,41,6,16616,2023-07-11
128,1073,3,77,26,6,35658,2024-08-16
129,1272,1,87,3,8,21819,2022-05-13
130,1009,3,96,12,6,25067,2022-10-19
