OrderID,ProductID,CustomerID,Date,Quantity,Revenue
1,7,25,2024-03-31,9,3250.34
2,20,42,2024-07-20,5,3549.34
3,15,31,2024-12-11,6,4562.06
4,11,3,2024-01-19,4,3161.33
5,8,40,2024-02-08,2,1745.74
6,7,46,2024-05-05,8,4143.03
7,19,24,2024-06-21,6,1878.99
8,11,50,2024-05-20,5,267.72
9,11,32,2024-08-29,9,4170.21
10,4,47,2024-08-07,1,1791.44
11,8,22,2024-05-05,5,3891.79
12,3,23,2024-02-27,6,1877.51
13,2,2,2024-05-27,5,4319.23
14,12,27,2024-11-12,6,1175.6
15,6,42,2024-12-26,6,4875.28
16,2,2,2024-01-01,7,3920.82
17,1,26,2024-12-13,4,659.77
18,12,17,2024-07-08,8,2872.31
19,12,40,2024-07-09,7,4928.3
20,17,33,2024-11-07,9,2408.22
21,10,9,2024-04-26,7,992.32
22,16,43,2024-05-13,3,2475.41
23,15,48,2024-02-27,3,2611.04
24,15,39,2024-02-13,8,3734.27
25,19,29,2024-06-21,5,3524.34
26,12,42,2024-06-08,4,2072.5
27,20,26,2024-06-21,8,1168.31
28,3,35,2024-11-12,6,3260.77
29,5,50,2024-10-29,2,2166.35
30,19,25,2024-05-28,4,748.15
31,7,24,2024-03-20,4,4512.8
32,9,13,2024-07-31,6,3486.99
33,7,7,2024-07-21,6,3447.6
34,18,36,2024-09-08,1,4130.66
35,4,45,2024-08-16,8,2695.34
36,14,20,2024-06-12,6,4093.77
37,18,1,2024-08-14,3,2540.64
38,9,8,2024-05-26,9,429.16
39,2,46,2024-01-20,2,2085.72
40,20,16,2024-02-16,8,2537.58
41,15,14,2024-08-20,3,3628.99
42,7,12,2024-10-31,5,622.24
43,12,23,2024-01-14,6,786.09
44,8,15,2024-05-22,6,1392.05
45,15,28,2024-01-01,4,1405.84
46,3,34,2024-02-23,3,3687.7
47,14,2,2024-09-15,4,1328.58
48,17,32,2024-05-23,1,3202.18
49,4,23,2024-01-12,4,2521.94
50,18,22,2024-11-25,1,2909.14
51,8,25,2024-08-11,1,4206.72
52,4,22,2024-09-28,6,2081.47
53,2,22,2024-12-23,5,3877.47
54,6,49,2024-06-04,4,2167.98
55,10,42,2024-01-08,3,1833.97
56,4,6,2024-05-01,1,4797.27
57,18,15,2024-12-13,6,1003.42
58,12,43,2024-06-12,2,542.65
59,2,37,2024-03-30,8,3877.83
60,10,33,2024-05-15,5,434.42
61,4,8,2024-07-04,7,4201.69
62,14,44,2024-11-11,2,2242.25
63,16,44,2024-06-26,8,4586.02
64,15,5,2024-01-28,2,3635.51
65,8,39,2024-08-07,4,3090.98
66,14,4,2024-12-22,1,4751.6
67,8,6,2024-02-10,5,2043.58
68,16,45,2024-08-15,9,4775.03
69,13,32,2024-07-10,1,761.51
70,18,30,2024-05-24,9,2470.4
71,15,47,2024-07-19,8,1422.56
72,13,35,2024-07-30,6,2745.23
73,9,40,2024-08-07,7,893.87
74,15,16,2024-08-27,3,4223.5
75,13,13,2024-02-15,1,4247.4
76,1,50,2024-02-04,5,4780.66
77,7,42,2024-09-09,2,857.89
78,9,30,2024-03-22,5,3154.33
79,1,19,2024-09-12,8,2423.76
80,12,17,2024-07-15,9,1787.48
81,8,19,2024-10-29,2,1822.55
82,11,28,2024-01-10,3,2122.69
83,19,26,2024-11-07,3,3554.14
84,17,37,2024-10-12,1,3031.6
85,8,26,2024-08-29,8,2352.44
86,3,23,2024-09-07,6,472.07
87,3,9,2024-12-30,8,481.05
88,1,12,2024-01-05,9,111.46
89,5,1,2024-04-28,5,4841.73
90,10,1,2024-10-15,3,125.74
91,7,47,2024-03-05,5,605.16
92,9,34,2024-05-25,5,1641.52
93,7,32,2024-08-11,5,4056.41
94,9,48,2024-08-26,3,4814.28
95,8,25,2024-06-25,4,3971.07
96,12,40,2024-09-23,9,3483.75
97,2,45,2024-12-06,9,2654.37
98,1,1,2024-10-08,2,524.86
99,16,16,2024-03-03,8,4795.04
100,5,39,2024-08-04,8,3816.12
101,3,5,2024-12-07,7,3230.85
102,12,22,2024-11-10,8,3819.28
103,8,29,2024-10-09,3,3648.11
104,3,3,2024-06-25,6,3222.43
105,1,12,2024-04-07,1,4904.83
106,3,26,2024-04-14,7,4526.48
107,5,16,2024-04-08,1,3268.66
108,15,37,2024-11-06,9,3496.56
109,14,22,2024-01-06,1,352.82
110,3,29,2024-07-15,1,3382.6
111,1,14,2024-12-16,7,316.41
112,5,28,2024-05-12,2,2982.49
113,14,5,2024-12-23,5,4996.83
114,7,47,2024-09-15,8,2823.45
115,9,49,2024-01-23,8,2418.73
116,15,30,2024-02-22,3,1632.99
117,15,46,2024-06-13,7,690.56
118,10,5,2024-07-20,3,3682.02
119,13,12,2024-03-23,6,1043.74
120,19,16,2024-05-24,6,664.88
121,7,26,2024-03-25,3,2166.64
122,17,26,2024-03-18,7,3997.18
123,20,48,2024-12-31,3,3750.82
124,4,21,2024-01-01,8,368.92
125,5,39,2024-02-20,4,2330.2
126,7,36,2024-06-21,1,2659.93
127,13,33,2024-07-23,4,3258.28
128,15,30,2024-09-16,7,3285.82
129,11,37,2024-10-14,4,1887.02
130,4,23,2024-02-03,6,2847.32
131,13,10,2024-12-13,9,2457.2
132,7,5,2024-04-04,1,4436.49
133,19,36,2024-03-12,5,2698.3
134,2,34,2024-02-08,7,2261.06
135,10,31,2024-06-02,1,2081.98
136,13,10,2024-09-06,4,2904.9
137,6,19,2024-06-10,6,4039.49
138,12,32,2024-04-27,2,2738.17
139,12,1,2024-09-15,5,3342.11
140,20,5,2024-11-01,1,3715.49
141,11,45,2024-09-24,6,2648.82
142,7,4,2024-02-23,6,2191.4
143,1,16,2024-08-23,4,4395.66
144,1,24,2024-08-09,8,2145.78
145,20,16,2024-09-07,4,2363.52
146,13,2,2024-11-08,8,4952.67
147,9,49,2024-04-21,8,101.16
148,3,28,2024-09-11,5,1008.82
149,7,32,2024-10-29,4,1981.42
150,6,27,2024-07-25,2,4669.69
151,8,20,2024-08-16,3,443.15
152,9,24,2024-12-06,3,146.48
153,5,12,2024-03-06,4,358.15
154,1,50,2024-03-15,4,533.86
155,19,35,2024-04-12,5,284.22
156,10,33,2024-07-10,4,2450.93
157,12,33,2024-09-08,8,2945.71
158,15,43,2024-08-13,6,1431.27
159,9,37,2024-10-20,6,2051.61
160,20,12,2024-11-01,8,549.33
161,17,3,2024-04-07,7,1748.22
162,17,1,2024-12-03,8,2660.34
163,20,33,2024-10-12,2,3688.13
164,12,40,2024-11-30,9,116.4
165,7,10,2024-12-12,1,2389.82
166,2,43,2024-11-03,8,1555.31
167,3,44,2024-09-05,4,4278.83
168,17,29,2024-06-14,4,3606.21
169,5,13,2024-11-30,5,2986.63
170,17,12,2024-01-30,8,1458.6
171,17,31,2024-09-03,5,4560.66
172,17,46,2024-04-15,8,320.99
173,2,2,2024-02-20,1,636.39
174,2,50,2024-03-21,9,2018.99
175,5,35,2024-05-12,6,709.74
176,1,23,2024-10-11,3,4786.44
177,1,17,2024-05-17,8,4010.15
178,19,26,2024-07-02,9,1369.01
179,2,8,2024-11-25,6,2983.92
180,12,29,2024-09-29,7,4913.42
181,6,26,2024-12-05,1,4432.57
182,4,10,2024-03-09,5,3043.91
183,11,26,2024-02-03,5,4528.25
184,17,34,2024-09-18,4,4947.01
185,6,41,2024-02-22,6,3742.43
186,5,7,2024-07-23,7,418.43
187,20,4,2024-05-05,9,2067.74
188,2,50,2024-08-22,1,4205.35
189,6,45,2024-02-12,6,1229.79
190,11,11,2024-08-27,7,4170.15
191,16,29,2024-04-20,3,689.66
192,16,36,2024-09-05,8,330.03
193,1,25,2024-05-30,5,1982.04
194,9,21,2024-07-01,9,279.99
195,6,36,2024-12-01,5,4790.62
196,16,10,2024-04-04,9,4148.41
197,3,37,2024-01-08,4,4023.77
198,20,9,2024-12-25,9,3185.91
199,4,24,2024-07-02,5,1159.99
200,19,35,2024-10-07,9,2639.48
201,3,49,2024-07-13,3,3026.64
202,19,35,2024-12-17,4,2672.65
203,20,48,2024-07-13,9,1375.14
204,7,36,2024-06-03,6,2624.71
205,20,18,2024-04-02,2,2506.81
206,9,49,2024-06-08,7,4982.05
207,1,39,2024-03-01,2,4497.44
208,8,32,2024-05-01,2,2370.57
209,7,24,2024-02-20,1,3152.39
210,18,23,2024-10-03,3,3764.57
211,8,32,2024-01-05,6,270.84
212,1,37,2024-04-01,8,4485.12
213,11,12,2024-06-18,9,4314.62
214,18,49,2024-11-12,7,2341.42
