Date,Year,Quarter,Month,MonthName,Week,DayOfWeek,DayName,IsWeekend,IsHoliday
2024-01-01,2024,Q1,1,January,1,1,Monday,No,Yes
2024-01-02,2024,Q1,1,January,1,2,Tuesday,No,No
2024-01-03,2024,Q1,1,January,1,3,Wednesday,No,No
2024-01-04,2024,Q1,1,January,1,4,Thursday,No,No
2024-01-05,2024,Q1,1,January,1,5,Friday,No,No
2024-01-06,2024,Q1,1,January,1,6,Saturday,Yes,No
2024-01-07,2024,Q1,1,January,1,7,Sunday,Yes,No
2024-01-08,2024,Q1,1,January,2,1,Monday,No,No
2024-01-09,2024,Q1,1,January,2,2,Tuesday,No,No
2024-01-10,2024,Q1,1,January,2,3,Wednesday,No,No
2024-01-11,2024,Q1,1,January,2,4,Thursday,No,No
2024-01-12,2024,Q1,1,January,2,5,Friday,No,No
2024-01-13,2024,Q1,1,January,2,6,Saturday,Yes,No
2024-01-14,2024,Q1,1,January,2,7,Sunday,Yes,No
2024-01-15,2024,Q1,1,January,3,1,Monday,No,Yes
2024-01-16,2024,Q1,1,January,3,2,Tuesday,No,No
2024-01-17,2024,Q1,1,January,3,3,Wednesday,No,No
2024-01-18,2024,Q1,1,January,3,4,Thursday,No,No
2024-01-19,2024,Q1,1,January,3,5,Friday,No,No
2024-01-20,2024,Q1,1,January,3,6,Saturday,Yes,No
2024-01-21,2024,Q1,1,January,3,7,Sunday,Yes,No
2024-01-22,2024,Q1,1,January,4,1,Monday,No,No
2024-01-23,2024,Q1,1,January,4,2,Tuesday,No,No
2024-01-24,2024,Q1,1,January,4,3,Wednesday,No,No
2024-01-25,2024,Q1,1,January,4,4,Thursday,No,No
2024-01-26,2024,Q1,1,January,4,5,Friday,No,No
2024-01-27,2024,Q1,1,January,4,6,Saturday,Yes,No
2024-01-28,2024,Q1,1,January,4,7,Sunday,Yes,No
2024-01-29,2024,Q1,1,January,5,1,Monday,No,No
2024-01-30,2024,Q1,1,January,5,2,Tuesday,No,No
2024-01-31,2024,Q1,1,January,5,3,Wednesday,No,No
2024-02-01,2024,Q1,2,February,5,4,Thursday,No,No
2024-02-02,2024,Q1,2,February,5,5,Friday,No,No
2024-02-03,2024,Q1,2,February,5,6,Saturday,Yes,No
2024-02-04,2024,Q1,2,February,5,7,Sunday,Yes,No
2024-02-05,2024,Q1,2,February,6,1,Monday,No,No
2024-02-06,2024,Q1,2,February,6,2,Tuesday,No,No
2024-02-07,2024,Q1,2,February,6,3,Wednesday,No,No
2024-02-08,2024,Q1,2,February,6,4,Thursday,No,No
2024-02-09,2024,Q1,2,February,6,5,Friday,No,No
2024-02-10,2024,Q1,2,February,6,6,Saturday,Yes,No
2024-02-11,2024,Q1,2,February,6,7,Sunday,Yes,No
2024-02-12,2024,Q1,2,February,7,1,Monday,No,No
2024-02-13,2024,Q1,2,February,7,2,Tuesday,No,No
2024-02-14,2024,Q1,2,February,7,3,Wednesday,No,Yes
2024-02-15,2024,Q1,2,February,7,4,Thursday,No,No
2024-02-16,2024,Q1,2,February,7,5,Friday,No,No
2024-02-17,2024,Q1,2,February,7,6,Saturday,Yes,No
2024-02-18,2024,Q1,2,February,7,7,Sunday,Yes,No
2024-02-19,2024,Q1,2,February,8,1,Monday,No,Yes
2024-02-20,2024,Q1,2,February,8,2,Tuesday,No,No
2024-02-21,2024,Q1,2,February,8,3,Wednesday,No,No
2024-02-22,2024,Q1,2,February,8,4,Thursday,No,No
2024-02-23,2024,Q1,2,February,8,5,Friday,No,No
