OrderID,ProductID,CustomerID,OrderDate,Qty,UnitPrice,Region,SalesPersonID
1001,P101,C201,2024-01-15,5,299.99,North,SP01
1002,P102,C202,2024-01-16,3,149.5,South,SP02
1003,P103,C203,2024-01-17,2,499.99,East,SP03
1004,P101,C204,2024-01-18,4,299.99,West,SP01
1005,P104,C205,2024-01-20,1,899.0,North,SP04
1006,P102,C206,2024-01-22,6,149.5,South,SP02
1007,P105,C207,2024-01-25,3,199.99,East,SP05
1008,P103,C208,2024-01-28,2,499.99,West,SP03
1009,P106,C209,2024-02-01,5,79.99,North,SP01
1010,P101,C210,2024-02-03,3,299.99,South,SP02
1011,P107,C211,2024-02-05,4,349.0,East,SP03
1012,P104,C212,2024-02-08,1,899.0,West,SP04
1013,P102,C213,2024-02-10,8,149.5,North,SP02
1014,P108,C214,2024-02-12,2,599.99,South,SP05
1015,P105,C215,2024-02-15,4,199.99,East,SP01
1016,P103,C216,2024-02-18,3,499.99,West,SP03
1017,P109,C217,2024-02-20,6,129.99,North,SP04
1018,P106,C218,2024-02-22,10,79.99,South,SP02
1019,P101,C219,2024-02-25,2,299.99,East,SP01
1020,P110,C220,2024-02-28,1,1299.0,West,SP05
1021,P107,C221,2024-03-01,5,349.0,North,SP03
1022,P102,C222,2024-03-03,4,149.5,South,SP02
1023,P104,C223,2024-03-05,2,899.0,East,SP04
1024,P108,C224,2024-03-08,3,599.99,West,SP05
1025,P105,C225,2024-03-10,7,199.99,North,SP01
1026,P103,C226,2024-03-12,2,499.99,South,SP03
1027,P111,C227,2024-03-15,4,249.99,East,SP02
1028,P106,C228,2024-03-18,12,79.99,West,SP01
1029,P109,C229,2024-03-20,5,129.99,North,SP04
1030,P101,C230,2024-03-22,6,299.99,South,SP02
1031,P112,C231,2024-03-25,1,1599.0,East,SP05
1032,P107,C232,2024-03-28,3,349.0,West,SP03
1033,P102,C233,2024-03-30,9,149.5,North,SP02
1034,P104,C234,2024-04-02,1,899.0,South,SP04
1035,P108,C235,2024-04-05,4,599.99,East,SP05
1036,P105,C236,2024-04-08,6,199.99,West,SP01
1037,P110,C237,2024-04-10,2,1299.0,North,SP05
1038,P103,C238,2024-04-12,5,499.99,South,SP03
1039,P111,C239,2024-04-15,3,249.99,East,SP02
1040,P106,C240,2024-04-18,15,79.99,West,SP01
