Revenue,Cost,Category
12270,13534,B
5860,14743,B
10390,9629,C
18418,13990,B
10191,11467,C
16964,3016,A
16284,9869,C
10734,8439,B
11265,9892,A
5466,8863,A
18526,9916,A
9426,10529,C
10578,2878,B
19423,11268,A
16636,6887,A
16363,14185,A
16111,6859,C
13322,8331,C
6685,10571,B
5769,10684,C
15583,9208,A
18803,7276,B
11949,4062,A
7433,14076,A
10311,2064,C
10051,10006,B
11420,4568,C
6184,7463,C
9555,4027,B
8385,4695,A
17309,11687,A
11396,7258,B
18035,7618,A
16096,8736,B
13666,2391,B
14274,14706,C
7558,14666,B
12849,7892,C
7047,5561,A
7747,12470,A
14167,8184,A
14998,5099,A
5189,8278,C
7734,10392,A
8005,5104,B
9658,9215,B
6899,14790,B
12734,4454,C
6267,13837,A
6528,10996,A
16394,4731,A
8556,12965,C
8890,10154,B
13838,11762,B
19356,7056,A
16080,10110,B
19502,12882,B
10393,5840,C
15627,3028,C
13792,9385,C
15555,2502,C
15253,8910,A
13433,14685,C
15233,11062,B
16016,8938,A
12513,6488,B
7612,2206,B
12041,7134,B
14555,7977,C
11235,9721,C
10486,9035,A
12099,3484,A
14670,9858,C
15748,2863,B
5775,4790,A
17206,9408,C
13226,10755,C
19541,7116,C
8152,14383,B
15147,8019,C
6585,3757,C
8943,9574,C
12555,8374,C
8073,8892,A
6021,3678,A
16653,5242,C
15805,6636,B
18417,3059,A
8843,8668,C
12989,11914,A
14692,13506,A
17990,5157,B
19737,7915,C
11873,12817,C
10675,12921,B
5161,11789,B
9297,13252,C
15173,4693,C
5995,5627,B
19605,11555,A
