SaleID,CustomerID,ProductID,Quantity,OrderValue
1,7,3,1.0,174
2,20,12,2.0,978
3,15,8,4.0,1700
4,11,6,4.0,1896
5,8,11,,202
6,7,3,3.0,522
7,19,1,1.0,475
8,11,3,5.0,870
9,11,5,1.0,319
10,4,15,1.0,265
11,8,14,3.0,873
12,3,3,1.0,174
13,2,1,2.0,950
14,12,5,2.0,638
15,6,10,4.0,1100
16,2,7,5.0,1370
17,1,15,1.0,265
18,12,14,1.0,291
19,12,7,3.0,822
20,17,11,2.0,202
21,10,9,5.0,880
22,16,15,4.0,1060
23,15,15,2.0,530
24,15,10,4.0,1100
25,19,10,3.0,825
26,12,12,3.0,1467
27,20,13,1.0,340
28,3,3,5.0,870
29,5,15,4.0,1060
30,19,7,2.0,548
31,7,1,3.0,1425
32,9,4,1.0,75
33,7,13,1.0,340
34,18,4,4.0,300
35,4,14,3.0,873
36,14,5,5.0,1595
37,18,7,3.0,822
38,9,7,4.0,1096
39,2,13,4.0,1360
40,20,15,3.0,795
41,15,11,4.0,404
42,7,13,3.0,1020
43,12,4,2.0,150
44,8,13,3.0,1020
45,15,7,,822
46,3,11,4.0,404
47,14,3,4.0,696
48,17,6,1.0,474
49,4,12,1.0,489
50,18,2,2.0,568
51,8,10,1.0,275
52,4,13,3.0,1020
53,2,14,4.0,1164
54,6,9,1.0,176
55,10,5,1.0,319
56,4,6,,948
57,18,12,2.0,978
58,12,12,3.0,1467
59,2,12,4.0,1956
60,10,12,2.0,978
61,4,4,1.0,75
62,14,14,4.0,1164
63,16,14,4.0,1164
64,15,11,1.0,101
65,8,10,2.0,550
66,14,7,1.0,274
67,8,12,4.0,1956
68,16,9,5.0,880
69,13,7,5.0,1370
70,18,14,3.0,873
71,15,1,1.0,475
72,13,1,,475
73,9,9,3.0,528
74,15,11,3.0,303
75,13,14,3.0,873
76,1,9,4.0,704
77,7,4,1.0,75
78,9,13,4.0,1360
79,1,9,,528
80,12,3,1.0,174
81,8,7,4.0,1096
82,11,6,4.0,1896
83,19,8,3.0,1275
84,17,11,1.0,101
85,8,9,3.0,528
86,3,14,1.0,291
87,3,5,5.0,1595
88,1,1,2.0,950
89,5,3,2.0,348
90,10,10,2.0,550
91,7,12,3.0,1467
92,9,8,5.0,2125
93,7,15,1.0,265
94,9,11,4.0,404
95,8,6,1.0,474
96,12,8,4.0,1700
97,2,9,1.0,176
98,1,4,5.0,375
99,16,1,4.0,1900
100,5,14,3.0,873
